CompoundType (class=java.lang.String)
2787120 = Metabolite
2935910 = Cofactor
2787121 = Enzyme
2787122 = Metabolite
c_nervonate+%2824%3A1n9%29* = Compound
2787124 = Metabolite
2935914 = Metabolite
2787125 = Enzyme
2935913 = Enzyme
2787126 = Minor+Metabolite
2935912 = Metabolite
2787127 = Minor+Metabolite
c_4-acetylphenol+sulfate = Compound
2787128 = Minor+Metabolite
2787129 = Cofactor
2935917 = Minor+Metabolite
2935916 = Minor+Metabolite
2935915 = Minor+Metabolite
c_Unknown+-+11478 = Compound
2935919 = Enzyme
c_Unknown+-+11440 = Compound
c_Unknown+-+11442 = Compound
c_Unknown+-+11441 = Compound
c_Unknown+-+11444 = Compound
c_Unknown+-+24757 = Compound
2934611 = Minor+Metabolite
2935943 = Cofactor
2787132 = Enzyme
2934612 = Minor+Metabolite
2935942 = Minor+Metabolite
2787133 = Minor+Metabolite
2935941 = Minor+Metabolite
2787134 = Metabolite
2934610 = Metabolite
2787135 = Minor+Metabolite
2934615 = Metabolite
2935947 = Minor+Metabolite
2787136 = Metabolite
2934616 = Enzyme
2787137 = Enzyme
2934613 = Enzyme
2935945 = Enzyme
2935944 = Metabolite
2787139 = Metabolite
2934619 = Metabolite
2934617 = Minor+Metabolite
2935949 = Minor+Metabolite
2934618 = Metabolite
2935948 = Minor+Metabolite
c_sphingomyelin+%28d18%3A0%2F20%3A0%2C+d16%3A0%2F22%3A0%29* = Compound
c_Unknown+-+24766 = Compound
2787140 = Enzyme
2787141 = Metabolite
